numero,cgal_graham_andrew,cpu_manhattan,gpu_scan,thrust_copy,omp_manhattan,cudachain,qhull
33M,0.73880352,5.784254788,40.75922887,80.66816115,36.14989464,21.80636286,1.114964636
67M,0.76596312,6.568170984,43.5513733,85.63707696,37.04642971,22.75891254,1.336946498
100M,0.850971663,7.042116328,48.7135499,96.23363585,55.40917739,29.24954906,1.509746617
134M,0.946938556,8.465795282,56.46350995,114.8111158,51.42403258,33.51565992,1.721490302
167M,0.981662375,8.380162068,59.18844444,123.5568289,54.88816056,35.85750557,1.773767655
201M,0.9828689,8.757358221,58.85147468,121.9981743,59.86694314,34.79578933,1.786263573
234M,0.995033383,8.581995508,61.04905362,125.8122195,58.47408703,35.9153296,1.832339549
268M,1.016447969,9.377242257,65.17044196,134.2275442,74.95592425,37.69917809,
301M,1.029007828,9.042201346,65.83938545,137.3244354,60.05046496,38.20605415,
335M,1.031771952,9.518333118,64.09098177,133.8401791,56.0541917,39.40771544,
369M,1.066000248,9.295167777,67.68176945,142.2555959,65.8521148,38.52128709,
402M,1.055615595,9.855069561,67.60615102,143.4782834,64.19251654,39.53589275,
436M,1.044417791,9.359244104,66.84062749,134.3674672,57.1177233,39.59735473,
469M,1.051078701,9.878187035,68.52994393,145.2072105,57.84336009,39.29258096,
503M,1.03576589,9.413669176,68.01498165,143.4635313,54.0610415,39.65060562,
536M,1.039477937,9.963199884,69.26363759,141.0413115,79.03860211,40.88986372,
570M,1.076189849,9.847768646,70.59363425,141.588228,57.5652246,40.71931871,
603M,1.08232953,10.40006745,72.04854224,153.1422626,61.29256105,41.76060171,
637M,1.075244794,9.965432239,72.40847213,154.6418783,57.65584556,41.04097275,
671M,1.081267971,10.48475671,72.0150647,155.3196597,68.22992064,41.65091305,
704M,1.069380275,9.929390659,71.60018079,147.9793922,63.58834586,41.66738987,
738M,1.061267457,10.42951317,72.28344307,152.396217,74.02091163,40.0945858,
771M,1.071081425,9.997824591,72.76463266,155.9364334,72.10999601,41.53159167,
805M,1.075520594,10.54372171,72.46936769,156.4710421,71.81940034,41.62916489,
838M,1.072705045,10.05775179,72.61264142,156.5564268,66.6211524,41.35384433,
872M,1.069528062,10.69044857,74.56173484,155.5608686,76.28327649,40.23191506,
905M,1.070882682,10.02274356,72.98287643,147.7628047,60.91157081,39.76623053,
939M,1.074787011,10.71595162,74.71781522,152.4507744,83.21221665,41.0548472,
973M,1.08915494,10.26973492,75.13877399,154.7445271,65.99534533,40.78850804,
1006M,1.073117525,10.79416021,74.85255727,161.1262788,72.07086802,41.14684758,
1040M,1.085610536,10.29137599,74.05007641,159.5687952,63.91464229,40.30474146,
1073M,1.079266105,10.84860356,60.49840544,132.4575986,63.733388,40.30376711,
